country,year,month,gasoline_price_usd_per_liter,source,frequency,,date
China,2019,1,0.89,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2019-01-01
China,2019,2,0.89,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2019-02-01
China,2019,3,0.89,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2019-03-01
China,2019,4,0.93,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2019-04-01
China,2019,5,0.93,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2019-05-01
China,2019,6,0.93,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2019-06-01
China,2019,7,0.95,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2019-07-01
China,2019,8,0.95,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2019-08-01
China,2019,9,0.95,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2019-09-01
China,2019,10,0.9,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2019-10-01
China,2019,11,0.9,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2019-11-01
China,2019,12,0.9,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2019-12-01
China,2020,1,0.78,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2020-01-01
China,2020,2,0.78,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2020-02-01
China,2020,3,0.78,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2020-03-01
China,2020,4,0.8,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2020-04-01
China,2020,5,0.8,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2020-05-01
China,2020,6,0.8,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2020-06-01
China,2020,7,0.86,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2020-07-01
China,2020,8,0.86,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2020-08-01
China,2020,9,0.86,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2020-09-01
China,2020,10,0.88,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2020-10-01
China,2020,11,0.88,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2020-11-01
China,2020,12,0.88,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2020-12-01
China,2021,1,0.95,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2021-01-01
China,2021,2,0.95,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2021-02-01
China,2021,3,0.95,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2021-03-01
China,2021,4,1.02,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2021-04-01
China,2021,5,1.02,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2021-05-01
China,2021,6,1.02,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2021-06-01
China,2021,7,1.08,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2021-07-01
China,2021,8,1.08,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2021-08-01
China,2021,9,1.08,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2021-09-01
China,2021,10,1.12,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2021-10-01
China,2021,11,1.12,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2021-11-01
China,2021,12,1.12,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2021-12-01
China,2022,1,1.15,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2022-01-01
China,2022,2,1.15,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2022-02-01
China,2022,3,1.15,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2022-03-01
China,2022,4,1.25,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2022-04-01
China,2022,5,1.25,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2022-05-01
China,2022,6,1.25,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2022-06-01
China,2022,7,1.28,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2022-07-01
China,2022,8,1.28,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2022-08-01
China,2022,9,1.28,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2022-09-01
China,2022,10,1.18,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2022-10-01
China,2022,11,1.18,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2022-11-01
China,2022,12,1.18,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2022-12-01
China,2023,1,1.1,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2023-01-01
China,2023,2,1.1,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2023-02-01
China,2023,3,1.1,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2023-03-01
China,2023,4,1.08,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2023-04-01
China,2023,5,1.08,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2023-05-01
China,2023,6,1.08,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2023-06-01
China,2023,7,1.12,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2023-07-01
China,2023,8,1.12,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2023-08-01
China,2023,9,1.12,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2023-09-01
China,2023,10,1.05,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2023-10-01
China,2023,11,1.05,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2023-11-01
China,2023,12,1.05,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2023-12-01
France,2019,1,1.51,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2019-01-01
France,2019,2,1.51,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2019-02-01
France,2019,3,1.51,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2019-03-01
France,2019,4,1.58,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2019-04-01
France,2019,5,1.58,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2019-05-01
France,2019,6,1.58,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2019-06-01
France,2019,7,1.55,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2019-07-01
France,2019,8,1.55,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2019-08-01
France,2019,9,1.55,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2019-09-01
France,2019,10,1.48,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2019-10-01
France,2019,11,1.48,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2019-11-01
France,2019,12,1.48,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2019-12-01
France,2020,1,1.38,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2020-01-01
France,2020,2,1.38,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2020-02-01
France,2020,3,1.38,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2020-03-01
France,2020,4,1.25,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2020-04-01
France,2020,5,1.25,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2020-05-01
France,2020,6,1.25,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2020-06-01
France,2020,7,1.32,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2020-07-01
France,2020,8,1.32,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2020-08-01
France,2020,9,1.32,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2020-09-01
France,2020,10,1.35,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2020-10-01
France,2020,11,1.35,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2020-11-01
France,2020,12,1.35,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2020-12-01
France,2021,1,1.42,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2021-01-01
France,2021,2,1.42,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2021-02-01
France,2021,3,1.42,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2021-03-01
France,2021,4,1.52,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2021-04-01
France,2021,5,1.52,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2021-05-01
France,2021,6,1.52,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2021-06-01
France,2021,7,1.6,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2021-07-01
France,2021,8,1.6,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2021-08-01
France,2021,9,1.6,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2021-09-01
France,2021,10,1.72,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2021-10-01
France,2021,11,1.72,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2021-11-01
France,2021,12,1.72,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2021-12-01
France,2022,1,1.88,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2022-01-01
France,2022,2,1.88,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2022-02-01
France,2022,3,1.88,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2022-03-01
France,2022,4,2.15,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2022-04-01
France,2022,5,2.15,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2022-05-01
France,2022,6,2.15,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2022-06-01
France,2022,7,2,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2022-07-01
France,2022,8,2,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2022-08-01
France,2022,9,2,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2022-09-01
France,2022,10,1.85,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2022-10-01
France,2022,11,1.85,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2022-11-01
France,2022,12,1.85,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2022-12-01
France,2023,1,1.78,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2023-01-01
France,2023,2,1.78,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2023-02-01
France,2023,3,1.78,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2023-03-01
France,2023,4,1.82,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2023-04-01
France,2023,5,1.82,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2023-05-01
France,2023,6,1.82,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2023-06-01
France,2023,7,1.85,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2023-07-01
France,2023,8,1.85,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2023-08-01
France,2023,9,1.85,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2023-09-01
France,2023,10,1.72,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2023-10-01
France,2023,11,1.72,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2023-11-01
France,2023,12,1.72,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2023-12-01
Germany,2019,1,1.43,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2019-01-01
Germany,2019,2,1.43,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2019-02-01
Germany,2019,3,1.43,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2019-03-01
Germany,2019,4,1.5,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2019-04-01
Germany,2019,5,1.5,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2019-05-01
Germany,2019,6,1.5,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2019-06-01
Germany,2019,7,1.46,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2019-07-01
Germany,2019,8,1.46,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2019-08-01
Germany,2019,9,1.46,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2019-09-01
Germany,2019,10,1.4,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2019-10-01
Germany,2019,11,1.4,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2019-11-01
Germany,2019,12,1.4,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2019-12-01
Germany,2020,1,1.31,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2020-01-01
Germany,2020,2,1.31,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2020-02-01
Germany,2020,3,1.31,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2020-03-01
Germany,2020,4,1.22,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2020-04-01
Germany,2020,5,1.22,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2020-05-01
Germany,2020,6,1.22,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2020-06-01
Germany,2020,7,1.28,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2020-07-01
Germany,2020,8,1.28,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2020-08-01
Germany,2020,9,1.28,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2020-09-01
Germany,2020,10,1.3,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2020-10-01
Germany,2020,11,1.3,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2020-11-01
Germany,2020,12,1.3,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2020-12-01
Germany,2021,1,1.38,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2021-01-01
Germany,2021,2,1.38,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2021-02-01
Germany,2021,3,1.38,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2021-03-01
Germany,2021,4,1.5,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2021-04-01
Germany,2021,5,1.5,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2021-05-01
Germany,2021,6,1.5,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2021-06-01
Germany,2021,7,1.58,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2021-07-01
Germany,2021,8,1.58,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2021-08-01
Germany,2021,9,1.58,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2021-09-01
Germany,2021,10,1.7,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2021-10-01
Germany,2021,11,1.7,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2021-11-01
Germany,2021,12,1.7,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2021-12-01
Germany,2022,1,1.85,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2022-01-01
Germany,2022,2,1.85,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2022-02-01
Germany,2022,3,1.85,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2022-03-01
Germany,2022,4,2.1,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2022-04-01
Germany,2022,5,2.1,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2022-05-01
Germany,2022,6,2.1,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2022-06-01
Germany,2022,7,1.95,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2022-07-01
Germany,2022,8,1.95,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2022-08-01
Germany,2022,9,1.95,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2022-09-01
Germany,2022,10,1.82,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2022-10-01
Germany,2022,11,1.82,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2022-11-01
Germany,2022,12,1.82,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2022-12-01
Germany,2023,1,1.75,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2023-01-01
Germany,2023,2,1.75,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2023-02-01
Germany,2023,3,1.75,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2023-03-01
Germany,2023,4,1.8,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2023-04-01
Germany,2023,5,1.8,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2023-05-01
Germany,2023,6,1.8,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2023-06-01
Germany,2023,7,1.82,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2023-07-01
Germany,2023,8,1.82,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2023-08-01
Germany,2023,9,1.82,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2023-09-01
Germany,2023,10,1.7,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2023-10-01
Germany,2023,11,1.7,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2023-11-01
Germany,2023,12,1.7,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2023-12-01
India,2019,1,0.88,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2019-01-01
India,2019,2,0.88,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2019-02-01
India,2019,3,0.88,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2019-03-01
India,2019,4,0.9,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2019-04-01
India,2019,5,0.9,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2019-05-01
India,2019,6,0.9,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2019-06-01
India,2019,7,0.89,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2019-07-01
India,2019,8,0.89,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2019-08-01
India,2019,9,0.89,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2019-09-01
India,2019,10,0.88,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2019-10-01
India,2019,11,0.88,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2019-11-01
India,2019,12,0.88,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2019-12-01
India,2020,1,0.82,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2020-01-01
India,2020,2,0.82,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2020-02-01
India,2020,3,0.82,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2020-03-01
India,2020,4,0.8,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2020-04-01
India,2020,5,0.8,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2020-05-01
India,2020,6,0.8,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2020-06-01
India,2020,7,0.85,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2020-07-01
India,2020,8,0.85,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2020-08-01
India,2020,9,0.85,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2020-09-01
India,2020,10,0.87,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2020-10-01
India,2020,11,0.87,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2020-11-01
India,2020,12,0.87,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2020-12-01
India,2021,1,0.9,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2021-01-01
India,2021,2,0.9,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2021-02-01
India,2021,3,0.9,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2021-03-01
India,2021,4,0.98,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2021-04-01
India,2021,5,0.98,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2021-05-01
India,2021,6,0.98,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2021-06-01
India,2021,7,1.05,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2021-07-01
India,2021,8,1.05,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2021-08-01
India,2021,9,1.05,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2021-09-01
India,2021,10,1.1,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2021-10-01
India,2021,11,1.1,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2021-11-01
India,2021,12,1.1,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2021-12-01
India,2022,1,1.12,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2022-01-01
India,2022,2,1.12,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2022-02-01
India,2022,3,1.12,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2022-03-01
India,2022,4,1.18,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2022-04-01
India,2022,5,1.18,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2022-05-01
India,2022,6,1.18,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2022-06-01
India,2022,7,1.15,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2022-07-01
India,2022,8,1.15,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2022-08-01
India,2022,9,1.15,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2022-09-01
India,2022,10,1.12,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2022-10-01
India,2022,11,1.12,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2022-11-01
India,2022,12,1.12,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2022-12-01
India,2023,1,1.08,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2023-01-01
India,2023,2,1.08,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2023-02-01
India,2023,3,1.08,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2023-03-01
India,2023,4,1.06,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2023-04-01
India,2023,5,1.06,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2023-05-01
India,2023,6,1.06,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2023-06-01
India,2023,7,1.05,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2023-07-01
India,2023,8,1.05,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2023-08-01
India,2023,9,1.05,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2023-09-01
India,2023,10,1.03,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2023-10-01
India,2023,11,1.03,IEA_GlobalPetrolPrices_compiled,monthly_interpolated,,2023-11-01
